"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Altitude (m)"	"Altitude WGS84 (m)"	"Speed (m/s)"	"Direction (°)"	"Distance (km)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"	"Satellites"
8,232841015E1	6,028008430E1	2,495671830E1	-7,050116017E0	1,216480680E1	1,480465651E0	1,507084929E2	1,775009292E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,332840037E1	6,028006838E1	2,495673757E1	-7,309753859E0	1,190511686E1	1,480465651E0	1,475557049E2	1,790754313E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,432839072E1	6,028005751E1	2,495675588E1	-7,730427574E0	1,148439816E1	1,480465651E0	1,489809604E2	1,810588365E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,532838094E1	6,028004274E1	2,495677603E1	-8,394338025E0	1,082043521E1	1,451509953E0	1,468595310E2	1,825490833E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,632837200E1	6,028003131E1	2,495679016E1	-9,072569944E0	1,014216536E1	1,490675211E0	1,478784996E2	1,836711250E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,732836223E1	6,028002266E1	2,495680065E1	-9,634141065E0	9,580565895E0	1,368009686E0	1,483769941E2	1,851266239E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,832835317E1	6,028001223E1	2,495681660E1	-9,910496413E0	9,304170337E0	1,372255683E0	1,479127598E2	1,869726380E-1	6,000906205E0	6,000906205E0	0,000000000E0
8,932834363E1	6,027999736E1	2,495683150E1	-1,006649566E1	9,148128103E0	1,372255683E0	1,509113222E2	1,883273267E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,032833374E1	6,027998624E1	2,495684150E1	-1,021198299E1	9,002610713E0	1,429072499E0	1,516006522E2	1,897330976E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,132832479E1	6,027997622E1	2,495685705E1	-1,041272382E1	8,801830829E0	1,461791635E0	1,522450669E2	1,914015929E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,232831550E1	6,027996347E1	2,495687302E1	-1,051878240E1	8,695729546E0	1,497095823E0	1,504548606E2	1,933333603E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,332830501E1	6,027994612E1	2,495687461E1	-1,052016548E1	8,694325195E0	1,589657784E0	1,534037948E2	1,947097640E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,432829583E1	6,027993376E1	2,495687602E1	-1,051642019E1	8,698054810E0	1,550342083E0	1,483454660E2	1,955395273E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,532828569E1	6,027993175E1	2,495689052E1	-1,026191674E1	8,952529628E0	1,550342083E0	1,484619344E2	1,965036762E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,632827663E1	6,027992331E1	2,495689450E1	-1,005571703E1	9,158713127E0	1,440935731E0	1,537385560E2	1,982046026E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,732826722E1	6,027990826E1	2,495690000E1	-1,009035478E1	9,124049382E0	1,507828712E0	1,557294742E2	1,999136476E-1	6,000906205E0	6,000906205E0	0,000000000E0
9,832825756E1	6,027989291E1	2,495690167E1	-1,030093394E1	8,913450913E0	1,624865413E0	1,569244704E2	2,015369380E-1	6,000906205E0	6,000906205E0	0,000000000E0
